id,category,code,name,stock,value
256,CONSUMABLES,MHCON0460,ALLEN BOLT M20x65,32,2214.17
257,CONSUMABLES,MHCON0521,ALLEN SCREW M16x75,121,5358.11
258,CONSUMABLES,MCON0009,ASBESTOS FLAT ROPE-12MMX5MM THICK,5,1050
259,CONSUMABLES,MCON0014,ASBESTOS PACKING ROPE 6MM,14.8,3599.48
260,CONSUMABLES,MACON0878,BALL BEARING  6204 2Z,5,781.75
261,CONSUMABLES,MC0N0185,BANIYAN WASTE,92.5,3726
262,CONSUMABLES,MACON1409,BEARING 22212,5,37693.13
263,CONSUMABLES,MACON1412,BEARING 22216,6,69124.4
264,CONSUMABLES,MACON1406,BEARING 2306,3,14868
265,CONSUMABLES,MSTR09993,BEARING 6211 C3 2RS 2Z,2,1512.76
266,CONSUMABLES,MCON0463,BEARING 6305 SKF,4,873.2
267,CONSUMABLES,MACON1423,BEARING UCF 216 D1 UNIT NTN,2,6608
268,CONSUMABLES,MHCON0854,BEARING UK 215 WITH ADAPTER SLEEVE - NTN,1,236
269,CONSUMABLES,MHCON0108,BOLT & NUT M10X65 HEX WITH DOUBLE WASHER,1000,944
270,CONSUMABLES,MHCON0105,BUFFING WHEEL AG4,21,916.86
271,CONSUMABLES,MHCON0698,CONDITIONER PADDLE M30X140/210,14,0
272,CONSUMABLES,MSTR12080,CONTACTOR MNX 32 L&T,2,4130
273,CONSUMABLES,MCON0129,COUPLING FOR TYRE F140 FENNER,3,10739.47
274,CONSUMABLES,MACON1366,COUPLING FOR TYRE F50,1,0
275,CONSUMABLES,MCON0133,COUPLING TYRE F80 FENNER,1,1264.82
276,CONSUMABLES,EACON0397,CUTTING PLIER MAKE TAPPERIA MEDIUM,4,1156.4
277,CONSUMABLES,MHCON0285,CUTTING WHEEL AG5,31,804.76
278,CONSUMABLES,MHCON0373,DISC 25MM TYPE NRV,3,34249.5
279,CONSUMABLES,MACON0823,DUPLEX CHAIN LINK FULL 1 INCH P,2,355.65
280,CONSUMABLES,MACON0827,DUPLEX CHAIN LINK FULL 3/4 INCH P,6,282
281,CONSUMABLES,MACON0833,DUPLEX CHAIN LINK HALF 1/2 INCH P,14,1090.32
282,CONSUMABLES,MACON0829,DUPLEX CHAIN LINK HALF 3/4 INCH P,9,729
283,CONSUMABLES,MACON0821,DUPLEX ROLLER CHAIN  1 INCH P,3.05,7077.51
284,CONSUMABLES,MACON0817,DUPLEX ROLLER CHAIN  3/4 INCH P,9.15,8692.5
285,CONSUMABLES,MCON0081,ELEVATOR BELT - 10 INCH,55,66000
286,CONSUMABLES,MACON1476,ELEVATOR BUCKET  BOLT 8 * 32,1400,3407.25
287,CONSUMABLES,MACON1474,ELEVATOR BUCKET 12 INCH,36,7044.48
288,CONSUMABLES,MACON1477,ELEVATOR BUCKET BOLT 8 * 40,100,2124
289,CONSUMABLES,MCON0040,EMERY SHEET FINE,10,236
290,CONSUMABLES,MSTR10086,ENERGY METER MODEL NO EM 6400 SCHNEIDER,3,29379.16
291,CONSUMABLES,MSTR10087,ENERGY METER MODEL NO EM 6433 SCHNEIDER,1,9793.06
292,CONSUMABLES,MCON0032,EPE SHEET,1.25,1548.75
293,CONSUMABLES,MHCON0730,FRONT WEAR RING FWR TAPPER MODEL 580/197 - HARD CASE,1,28560
294,CONSUMABLES,MCON0054,FUSIBLE PLUG 0.75 INCH,1,840
295,CONSUMABLES,MACON1370,GAS CUTTING TORCH,1,2808.4
296,CONSUMABLES,MHCON0629,GRINDING WHEEL AG 5 - JOHNBANDARI,39,1794.78
297,CONSUMABLES,MACON0843,GUM BOOT SHOE,3,1149.76
298,CONSUMABLES,MSTR10304,HAMMER MILL VEE BELT SPC 3350,15,21575.72
299,CONSUMABLES,MSTR09969,HBC FUSE LINK 63 A MODEL 3NWTIA20 SEIMENS,6,0
300,CONSUMABLES,MACON1269,HEX BOLT   M10 X 25 MM,400,1635.01
301,CONSUMABLES,MACON1280,HEX BOLT   M16 X 50 MM,137,3761.62
302,CONSUMABLES,MACON1325,HEX BOLT   M6 X 50 MM,512,2218.4
303,CONSUMABLES,MACON1270,HEX BOLT  M10 * 30 MM,244,33110.8
304,CONSUMABLES,MACON1271,HEX BOLT  M10 * 40 MM,18,153.99
305,CONSUMABLES,MACON1272,HEX BOLT  M10 * 50 MM,4,63.72
306,CONSUMABLES,MSTR12090,HRC FUSE BUS BAR LINE TYPE 3NE4 337-6-710A,6,29665.2
307,CONSUMABLES,MACON1635,HT BOLT ALLEN SCREW 16 * 50,14,421.59
308,CONSUMABLES,MSTR10802,INSTRUMENT COOLING FAN  6 INCH  REC 22038 A2V 220 ACMAKE :REXNORD,5,16956.6
309,CONSUMABLES,MC0N0184,LEATHER GLOVES 18 INCH SET,10,709.97
310,CONSUMABLES,MHCON0473,LOCK NUT,68,292.08
311,CONSUMABLES,MHCON0474,LOCK NUT FOR PELLET T SHAFT 520/178,1,0
312,CONSUMABLES,MHCON0868,LUBE FILLTER LF777,1,285.83
313,CONSUMABLES,MHCON0869,LUBE FILTTER 3889310,2,5066.02
314,CONSUMABLES,MACON0808,MEASURING TAPE 5 MTR,4,632.48
315,CONSUMABLES,MSTR12076,MPCB 45 TO 65A 1NO 1NC SIEMENS,1,13324.27
316,CONSUMABLES,MHCON0516,MS 11 INCH OD DUMMY FLANGE,4,0
317,CONSUMABLES,MHCON0514,MS 3.5 INCH FLANGE,1,0
318,CONSUMABLES,MHCON0513,MS 5.5 INCH FLANGE,3,0
319,CONSUMABLES,MHCON0510,MS DUMMY FLANGE 7 INCH,2,0
320,CONSUMABLES,MHCON0518,MS FLANGE 8.75 INCH ID,1,0
321,CONSUMABLES,MHCON0640,MS SHEET 18G 8x4 - 1 NOS,152,13529.12
322,CONSUMABLES,MACON1556,NICKLE GRAY PAINT ( QTY IN LTRS ),10,2596
323,CONSUMABLES,MCON0084,NYLON  SHEET 8 * 4,4,21004
324,CONSUMABLES,MCON0086,NYLON WHEEL,22,14278
325,CONSUMABLES,MACON01044,OIL SEAL 30 X 47 X 7,10,236
326,CONSUMABLES,MACON01038,OIL SEAL 40 X 52 X 7,6,0
327,CONSUMABLES,MACON01071,OIL SEAL 45 - 65 - 8,13,0
328,CONSUMABLES,MHCON0490,PB 450 PIN BUSH COUPLING FLANGE,1,0
329,CONSUMABLES,MACON1707,PIN BUSH COUPLING,6,18643.1
330,CONSUMABLES,MHCON0486,PIN BUSH COUPLING FLANGE PB 250,1,6770.05
331,CONSUMABLES,MHCON0482,PIN BUSH RUBBER SPARE PB-160 TO PB-200,122,13591.7
332,CONSUMABLES,MHCON0483,PIN BUSH SPARE PB 300 & PB350,31,0
333,CONSUMABLES,MHCON0485,PIN BUSH SPARE PB210-300,11,0
334,CONSUMABLES,MHCON0484,PIN BUSH SPARE PB250-300,22,0
335,CONSUMABLES,MHCON0567,PIN-BUSH RUBBER SPARE FOR PB,15,0
336,CONSUMABLES,MHCON0726,PRESS ROLL COLLAR RK 314 SHELL,10,8008
337,CONSUMABLES,MHCON0727,PRESS ROLL COVER RK 314 SHELL,10,8008
338,CONSUMABLES,MHCON0891,PRESS ROLL INNER COVER,7,28392
339,CONSUMABLES,MHCON0892,PRESS ROLL OUTER COVER,5,42140
340,CONSUMABLES,MHCON0307,PRESS ROLL STRAIGHT  DIMPLE 52-178/222 RK 314 D CR,4,44746.69
341,CONSUMABLES,MCON0110,REDLER TYPE-DRAG CHAIN CONVEYOR-MTR(O),70,202370
342,CONSUMABLES,MSTR07863,RUBBER PACKING SHEET 6MM,19,4484
343,CONSUMABLES,MSTR10297,SEIVE 3.5 MM 36 * 30 * 7 MM HOLE,2,6608
344,CONSUMABLES,MSTR09825,SEQUENTIAL TIMER 0-8 RELAY 230V AC,3,13275
345,CONSUMABLES,MHCON0300,SHIFTER SIEVE MODEL NO H 2100,87,19765
346,CONSUMABLES,MSTR12083,SIEMENS STAR - DELTA TIMMER,4,6372
347,CONSUMABLES,MACON0825,SIMPLEX CHAIN LINK HALF 1 INCH P,18.05,3399.27
348,CONSUMABLES,MACON0832,SIMPLEX CHAIN LINK HALF 1/2 INCH P,12,410.64
349,CONSUMABLES,MCON0401,SS SHEET,149.5,46671.44
350,CONSUMABLES,MHCON0502,TAPPER LOCK PULLEY 4 GROW,2,0
351,CONSUMABLES,MHCON0504,TAPPER LOCK PULLEY 5.5 INCH DIA 3 GROW,7,0
352,CONSUMABLES,MHCON0503,TAPPER LOCK PULLEY A TYPE 3 GROW,5,0
353,CONSUMABLES,MACON1110,THINNER,8,1198.88
354,CONSUMABLES,MHCON0413,TYRE TUBE 3.50x8 HEAVY DUTY DISC SET,2,4900.01
355,CONSUMABLES,MSTR07838,WATER FLOW METER 1 INCH,3,23375.8
356,CONSUMABLES,MCON0138,WELDING GLASS BLACK COLOUR,8,161.16
357,CONSUMABLES,MACON01772,WHITE GOGGES,7,553.42
358,CONSUMABLES,MHCON0145,WIND SOCK CLOTH,1,525
359,HARDCASE SPARES,MHCS0013,HC HAMMER MILL HOLDING RODS,100,18266.4
360,HARDCASE SPARES,MHCS0022,HC PELLET COOLER BLOWER IMPELLER,1,38232
361,HARDCASE SPARES,MHCS0034,HC SCREEN REST BOTTOM,2,0
362,HARDCASE SPARES,MHCS0012,HC-FRONT SCRAPPER,4,15993.6
363,HARDCASE SPARES,MHCS0016,HC-INNER SPACER OF ROLL ASSEMBLY,5,0
364,HARDCASE SPARES,MHCS0019,HC-MALE AND FEMALE SLEEVES,3,0
365,HARDCASE SPARES,MHCS0028,HC-RETAINER,30,0
366,HARDCASE SPARES,MHCS0029,HC-RETAINER OF ROLL ASSEMBLY,6,0
367,SPARES,ME020328,"PLATE, CRANKSHAFT",2,0
368,SPARES,MSTR13394,WATER PUMP,3,38744.8
369,SPARES,MSTR11854,WATER LEVEL INDICATOR SET (18 INCHES)  - MAYIL PIPE,1,0
370,FUSES,EFUS0009,63 AMPS KIT-KAT FUSE CARRIER,42,13007.92
371,METERS,EMET0014,ANALOG MULITIMETER,2,6419.2
372,METERS,EMET0008,REGULATOR CONTROL,1,3186
373,TRANSFORMER,MSTR03532,"CURRENT TRANSDUCER I/P 0 TO 5 AMPS, O/P 4 TO 20 MA",1,2973.6
374,TRANSFORMER,ETFR0008,CURRENT TRANSFORMER 300/5A,12,7533.12
375,FUEL,DIESEL,DIESEL,1820,172142.22
376,MS PLATE,MCON0336,FRONT END PLATE,1,0
377,ACID,HCLACID,HYDROCHLORIC ACID -32%,60,430.8
378,VALVE,MVAL0062,0.75 INCH STEAM GLOBE VALVE,7,52223.85
379,VALVE,MVAL0027,1 INCH GATE VALVE,5,3835
380,VALVE,MVAL0029,1.5 INCH GATE VALVE,4,5798.52
381,VALVE,MVAL0055,STEAM  VALVE 80NB IBR,1,10030
382,VALVE,MVAL0052,STRAINER 0.75 INCH SPIRAX,1,1888
383,VALVE,MVAL0053,THERMO DYNAMIC TRAP 15 MM SPIRAX,3,23098.5
384,CONSUMABLES,EACC0501,1-1/2 INCH SCREW,7200,0
385,CONSUMABLES,MSTR11327,"ADDON BLOCK (1NC + 1 NO) 3SB1400-0A,SIEMENS MAKE",8,573.14
386,CONSUMABLES,ELCON0392,AIR COMPRESSOR OIL 20LIT PART NO 1630207320,1,20189.63
387,CONSUMABLES,ELCON0081,AIR HOSE BLUE 8 MM JANATICS,10,571.71
388,CONSUMABLES,ELCON0402,AIR OIL SEPARATOR  B006700770003,1,18241.38
389,CONSUMABLES,ELCON0238,BEARING 23034 CC / W33,1,51330
390,CONSUMABLES,ELCON0266,BELT SPC 2360,6,5260.44
391,CONSUMABLES,ELCON0483,CAPACITOR 25KVAR CYLINDER  TYPE  HEAVY D UTY  440V -  L&T,4,11710.32
392,CONSUMABLES,ELCON0335,CAPACITOR CONTACTOR MPx50,1,2534.64
393,CONSUMABLES,EACON0691,CAT 6 CABLE,400,16864.56
394,CONSUMABLES,MSTR13690,CHANGEOVER SWITCH 63 AMP 4 POLE,2,8690.7
395,CONSUMABLES,ELCON0291,COMPRESSOR AIR FILTER PART NO 1622065800,6,0
396,CONSUMABLES,ELCON0290,COMPRESSOR OIL FILTER PART NO 2903062301,1,0
397,CONSUMABLES,ELCON0252,CONDUIT PIPE SEELING HOSE/EXTENSION,206,0
398,CONSUMABLES,ELCON0430,COOLANT - PART NO - 3167217,10,0
399,CONSUMABLES,ECON0049,COPPER SOCKET 120 SQ.MM,20,1298
400,CONSUMABLES,ELCON0293,CUMMINGS 4020551/4020522 AIR FILTER,3,0
401,CONSUMABLES,EACON0155,FILTER CLOTH,15,4368
402,CONSUMABLES,ELCON0294,FLEET GUARD 4072352 WATER FILTER,23,39773.44
403,CONSUMABLES,ELCON0066,GRILL COVER 24 INCH FRONT ALMONARD,8,2265.6
404,CONSUMABLES,ELC00079,HAND DRILL MACHINE WITH BIT SET,1,12508
405,CONSUMABLES,ELCON0262,I BOLT FOR LOAD CELL CODE 72205445 MAKE METLLER,4,0
406,CONSUMABLES,MSTR13792,INDUCTIVE PROXIMITY SENSOR SWITCH 24 V DC,2,1947
407,CONSUMABLES,ELCON0236,LED BULB 14 W,17,3864.74
408,CONSUMABLES,ELCON0366,LOCK WASHER DIA 100 MODEL 520/178 - HARD CASE,2,332.22
409,CONSUMABLES,ELCON0326,MAIN SWITCH 250A,1,21670.7
410,CONSUMABLES,ELCON0325,MAIN SWITCH 250A TYPE QSA 250 N(MAIN HRL),1,0
411,CONSUMABLES,EACON1228,MINT GREEN PAINT,12,3027.07
412,CONSUMABLES,ELCON0233,MIX CARD - RLY 149,2,0
413,CONSUMABLES,ELCON0385,MS SIEVE 3.0 MM DIA HOLE 3 MM THICK 1820x555 PERFORATION RADIATION PENDING EDGE TO EDGE 1600 MM (50 % OPENNING),1,3156.5
414,CONSUMABLES,ELCON0387,MS SIEVE 3.5 MM DIA HOLE 3 MM THICK 1820x555 PERFORATION RADIATION PENDING EDGE TO EDGE 1600 MM (50 % OPENNING),32,121112
415,CONSUMABLES,ELCON0159,NEEDLE PLATE SUPPORTER RC 61 SLNO 1 REVO,4,2007.04
416,CONSUMABLES,ELCON0251,OIL SEEL 52x40x7,16,0
417,CONSUMABLES,ELCON0250,OIL SEEL 80x55x8,11,435.49
418,CONSUMABLES,ELCON0391,PRESS ROLL SHELL MODEL - RK 1028 FLUTED,15,210000
419,CONSUMABLES,ELCON0364,PRESS ROLL SHELL MODEL - RK 314 FLUTED,14,142941.49
420,CONSUMABLES,ECON0020,PULLEY,3,15186.6
421,CONSUMABLES,ECON0090,REDUCER PVC 1 X 3/4 INCH,2,169.94
422,CONSUMABLES,ELCON0309,RELAY UNIT OLD MODEL 1AMPS TO 1.6 AMPS,1,0
423,CONSUMABLES,ELCON0253,SCRADER SEEL KIT FOR 1 INCH DIA PNUMATIC CYLINDER,9,0
424,CONSUMABLES,ELCON0254,SCRADER SEEL KIT FOR DOUBLE SOLINOID MODULER INCH -5/2 PART NO SC53024,7,0
425,CONSUMABLES,ELCON0260,SCRADER SEEL KIT FOR SINGLE SOLINOID 0.5 INCH / 0.75 INCH /1 INCH -5/2 PEPPET VALVE 0.75 INCH BASIC PART NO: SK 3458M,4,0
426,CONSUMABLES,ELCON0246,SEAL HOLDER FOR 1011 SHELL HMP 520/178,8,0
427,CONSUMABLES,ELCON0249,SEAL KIT FOR DIA 5 PNEUMATIC CYLINDER PART NO:SKC0510,2,0
428,CONSUMABLES,EACON0594,SMPS POWER SUPPLY INPUT 180 TO 240 VAC / 2.4 A OUTPUT 24V DC / 10A SIEMENS,2,5014.9
429,CONSUMABLES,ELCON0367,TAPPER COLLAR DIE 12 MT 3.0x45x45 THROUGHPUT 1:15 MODEL 580/197 - HARD CASE,1,180320
430,CONSUMABLES,ELCON0270,TIMING BELT XPA 1320,1,299.72
431,CONSUMABLES,ECON0086,WATER RESTISTANT BLACK COLOUR PAINT 4LIT CAN,12,3341.76
432,CABLE GLAND,ECGD0013,150 SQ. MM FT CABLE GLAND,10,2148.44
433,CABLE GLAND,ECGD0002,2.5 SQ MM FT CABLE GLAND,40,913.32
434,PANEL BOARD,MSTR08240,COOLING FAN MAKE CE SIZE 4 x 4 18W 2650 RPM 230V AC,2,590
435,PANEL BOARD,MSTR11439,"POWER CONTACTOR 3TF 57,COIL VOLTAGE 230V AC, MAKE - SIEMENS WITH ADDON BLOCK 2 NO + 2 NC",1,48087.36
436,ELECTRICAL,CMNELC001,LEGRAND 63A FP 100MA ELCB,2,7169.68
437,MINERALS,CRYSTALSALT,SALT - CRYSTAL,1660,8125.27
438,SLEEVE,MSLV0005,SIBCO SLEEVE H 309,2,172.28
439,SLEEVE,MSLV0006,SIBCO SLEEVE H 310,9,945.18
440,SLEEVE,MSLV0010,SIBCO SLEEVE H 313,1,153.4
441,SLEEVE,MSLV0011,SIBCO SLEEVE H 3130,2,0
442,SLEEVE,MSLV0012,SIBCO SLEEVE H 315,4,934.56
443,SLEEVE,MSLV0013,SIBCO SLEEVE H 316,6,7056.4
444,SLEEVE,MSLV0014,SIBCO SLEEVE H 318,2,660
445,SLEEVE,MSLV0016,SIBCO SLEEVE H 322,5,2896.9
446,LUBRICANTS,MACON1124,320 OMALA OIL,210,38736.01
447,PAINT,ENAP-ALU,ALUMINIUM PAINT,4,1189.44
448,PAINT,ENAP-OXB,ENAMEL OXFORD BLUE,1,226.56
449,CREMACH SPARES,MCRE0007,CR BEARING FOR PRESS ROLL ASSEMBLY 32220,13,133504.34
450,CREMACH SPARES,MCRE0044,CR-PELLET MILL CUTTING KNIFE,4,3644.43
451,CONSUMABLES,GENCON0021,EXT WEAR RING DPBS 520x178 FRONT COVER FOR DIE PN.DFPA 40011-010 BH,1,20944
452,CONSUMABLES,LOADCELL,LOAD CELL,4,2124
453,CONSUMABLES,GENCON0823,STRETCHER - FLEXIBLE FOLDABLE,1,4130
454,CONSUMABLES,MASK,FACE MASK,3900,3890.25
455,CONSUMABLES,HDCAPBLUE,HEAD CAP BLUE,8100,6923.03
456,CONSUMABLES,SAFETYBELT,SAFETY BELT,3,3591
457,SPROUT MATATOR,MSTR08128,"FIX CUTTER  -PART NO - RC 571, MAKE  -  REVO",4,1249.92
458,SPROUT MATATOR,MSTR08002,HAMMER MILL BEATERS 200 * 50 * 6,486,57470.22
459,SPROUT MATATOR,MSTR08125,"LOOPER HOLDER BRACKET (RC-8D)-PART NO - RC 728, MAKE  -  REVO",2,1370.88
460,SPROUT MATATOR,MSTR08122,"NEEDLE HOLDER ( MODEL RC-8D)-PART NO - RC 639, MAKE  -  REVO",6,3111.36
461,SPROUT MATATOR,MSTR08119,"NEEDLE PLATE ( MODEL RC-8D) -PART NO - RC 643, MAKE  -  REVO",10,4076.8
462,SPROUT MATATOR,MSTR08126,"SCREW FOR LOPPER HOLDER BRACKET -PART NO - RC 729, MAKE  -  REVO",10,288.96
463,SPROUT MATATOR,MSTR08120,"SCREW FOR NEEDLE PLATE -PART NO - RC 66, MAKE  -  REVO",60,1451.52
464,EQUIPMENT AND SPARES,HANSCLE150,HANGING SCALE 150 KG HAX S,2,1888
465,STRUCTURALS,MSTR0002,MS SHAFT EN 8,2,8400
466,OIL SEAL,MOSL0024,OIL SEAL 50 * 72 * 8,13,0
467,LIGHTINGS,ELIG0054,1.5 SQ. MM FLEXIBLE COPPER WIRE (VARIOUS COLOUR),7,11060.14
468,LIGHTINGS,MSTR08210,BULB CFL 23 W YELLOW,8,0
469,LIGHTINGS,ELIG0081,LED TUBE LIGHT 18W BULB,3,1125.6
470,LIGHTINGS,ELIG0091,LED TUBE LIGHT FITTING,12,4035.6
471,LIGHTINGS,ELIG0073,STREET LIGHT FITTING 250 W CAT NO SGP401,1,0
472,BOLT NUT AND WASHER,MBNW0126,1/2 X 2 INCH MS BOLT AND NUT,55,1067.61
473,BOLT NUT AND WASHER,MBNW0220,HEX NUT M10 WITH PLATING,694,1042.65
474,BOLT NUT AND WASHER,MBNW0219,HEX NUT M6 WITH PLATING,448,444.06
475,BOLT NUT AND WASHER,MBNW0028,M 10 SPRING WASHER,152,159.22
476,BOLT NUT AND WASHER,MBNW0036,M 10 X 40 HEX BOLT FULL THREAD,47,415.29
477,BOLT NUT AND WASHER,MBNW0038,M 10 X 50 HEX BOLT HALF THREAD,39,300.97
478,BOLT NUT AND WASHER,MBNW0041,M 10 X80 HE* BOLT FULL THREAD,99,2566.99
479,BOLT NUT AND WASHER,MBNW0055,M 12 X 50 HE * BOLT FULL THREAD,9,135.62
480,BOLT NUT AND WASHER,MBNW0168,M 14 HEX NUT,15,109.04
481,BOLT NUT AND WASHER,MBNW0064,M 16 SPRING WASHER,37,110.14
482,BOLT NUT AND WASHER,MBNW0077,M 20 SPRING WASHER,36,152.49
483,BOLT NUT AND WASHER,MBNW0080,M 20 X 140 FULL THREAD HE X BOLT,2,183.06
484,BOLT NUT AND WASHER,MBNW0083,M 20X 50 HEX BOLT FULL THREAD,87,5439.02
485,BOLT NUT AND WASHER,MBNW0100,M 30 X 50 HEX BOLT FULL THREAD,50,371.7
486,BOLT NUT AND WASHER,MSTR11130,M6X15 CSK BOLT,437,2004.87
487,BOLT NUT AND WASHER,MSTR11129,M8X30 CSK BOLT,55,745.39
488,BOLT NUT AND WASHER,MBNW0204,MS BOLT & NUT,10,5133
489,XLPE CABLE,PRJMHC0227,24C x 1.5 SQ.MM XLPE CU. AR. CABLE,50,20119
490,FUSE UNITS,EFSU0007,FUSE CARRIER SET 100 A,7,2374.75
491,FUSE UNITS,EFSU0020,HRC FUSE 63 A,30,6726
492,FUSE UNITS,EFSU0022,HRC FUSE LINK 125 A SIEMENS,5,0
493,FUSE UNITS,EFSU0001,HRC FUSE LINK 250 A SIEMENS,4,2563.67
494,GENERAL,EACON7056,"MPCB  14 TO 20 AMPS ,MODEL - 3RV1121-1H3RV1121-4BA10 ,WITH ADDON BLOCK MODEL - 3RV1901-1A,WITH AUXILLARY CONTACT 1NO + 1NC,MAKE-SIEMENS",1,921.34
495,GENERAL,EACON7055,"SOLENOID VALVE , MODEL :  DS255SR61 ,MAKE-JANATICS",8,10394
496,OIL,RELSTAR15W40,PREMIUM ENGINE OIL RELSTAR NOVA ULTRA 15W40 RELIANCE MAKE CI 4 PLUS GRADE,125,21355.2
